mapxsize = 5;
mapysize = 2;

//
"map0-0" = 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
"map0-1" = 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
"map0-2" = 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
"map0-3" = 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
"map0-4" = 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
"map0-5" = 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
"map0-6" = 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
"map0-7" = 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
"map0-8" = 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
"map0-9" = 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
"map0-a" = 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
"map0-b" = 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
"map0-c" = 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
"map0-d" = 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
"map0-e" = 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
//
"map1-0" = 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
"map1-1" = 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
"map1-2" = 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
"map1-3" = 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
"map1-4" = 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
"map1-5" = 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
"map1-6" = 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
"map1-7" = 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
"map1-8" = 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
"map1-9" = 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
"map1-a" = 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
"map1-b" = 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
"map1-c" = 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
"map1-d" = 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
"map1-e" = 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0;
